x1,y1,x2,y2,x3,y3
346.34,62.34,377.96,62.34,346.34,188.82,346.34,62.34
362.15,19.40,347.92,33.01,363.07,38.34,362.15,19.40
279.42,172.75,308.93,131.23,308.93,188.82,279.42,172.75
446.73,82.63,446.47,62.34,416.43,62.34,446.73,82.63
171.96,87.16,183.77,88.43,183.77,59.45,171.96,87.16
22.78,25.72,53.87,25.72,53.87,62.34,22.78,25.72
53.87,87.64,85.49,62.34,85.49,87.64,53.87,87.64
53.87,62.34,53.87,87.64,85.49,62.34,53.87,62.34
22.78,62.34,0.65,87.64,0.65,62.34,22.78,62.34
0.65,87.64,22.78,87.64,22.78,62.34,0.65,87.64
22.78,87.64,53.87,62.34,53.87,87.64,22.78,87.64
22.78,87.64,22.78,62.34,53.87,62.34,22.78,87.64
22.78,62.34,22.78,25.72,53.87,62.34,22.78,62.34
22.78,87.64,22.90,151.82,53.87,87.64,22.78,87.64
22.90,151.82,54.12,151.65,53.87,87.64,22.90,151.82
22.90,151.82,26.67,170.80,54.12,151.65,22.90,151.82
26.67,170.80,38.93,185.59,54.12,151.65,26.67,170.80
54.12,151.65,60.30,163.57,38.93,185.59,54.12,151.65
38.93,185.59,57.09,191.14,60.30,163.57,38.93,185.59
57.09,191.14,71.03,191.06,60.30,163.57,57.09,191.14
60.30,163.57,71.93,165.86,71.03,191.06,60.30,163.57
71.03,191.06,84.96,188.03,71.93,165.86,71.03,191.06
71.93,165.86,83.91,163.26,84.96,188.03,71.93,165.86
139.24,83.42,108.41,62.34,138.71,62.34,139.24,83.42
108.41,62.34,108.41,118.02,139.24,83.42,108.41,62.34
108.41,118.02,140.21,117.95,139.24,83.42,108.41,118.02
140.21,117.95,108.41,188.82,108.41,118.02,140.21,117.95
140.21,117.95,140.03,188.82,108.41,188.82,140.21,117.95
140.21,117.95,146.22,100.85,139.24,83.42,140.21,117.95
146.22,100.85,155.92,91.57,138.71,83.42,146.22,100.85
138.71,83.42,154.08,65.57,155.92,91.57,138.71,83.42
154.08,65.57,164.86,60.32,155.92,91.57,154.08,65.57
155.92,91.57,171.96,87.16,164.86,60.32,155.92,91.57
164.86,60.32,183.77,59.45,171.96,87.16,164.86,60.32
279.42,172.75,279.42,188.82,308.93,188.82,279.42,172.75
279.42,172.75,278.89,131.11,308.93,131.11,279.42,172.75
278.89,131.11,278.89,109.77,308.93,131.23,278.89,131.11
278.89,109.77,308.73,106.21,308.93,131.11,278.89,109.77
308.73,106.21,304.23,86.50,278.89,109.77,308.73,106.21
278.89,109.77,277.78,99.30,304.23,86.50,278.89,109.77
